METAMODEL,PROB,NVAR,REP,NEVAL,ITER,BEST.OBJ,TOTAL.TIME.S
"DEbest","ackley",5,3,780,36,0.142058,0.010000
"DEbest","ackley",5,3,800,37,0.142058,0.010000
"DEbest","ackley",5,3,820,38,0.135349,0.010000
"DEbest","ackley",5,3,840,39,0.083821,0.010000
"DEbest","ackley",5,3,860,40,0.037148,0.010000
"DEbest","ackley",5,3,880,41,0.034683,0.010000
"DEbest","ackley",5,3,900,42,0.034683,0.010000
"DEbest","ackley",5,3,920,43,0.033218,0.010000
"DEbest","ackley",5,3,940,44,0.033218,0.010000
"DEbest","ackley",5,3,960,45,0.030930,0.010000
"DEbest","ackley",5,3,980,46,0.028191,0.010000
"DEbest","ackley",5,3,1000,47,0.023750,0.010000
"DEbest","ackley",5,3,1020,48,0.013905,0.010000
"DEbest","ackley",5,3,1040,49,0.011645,0.010000
"DEbest","ackley",5,3,1060,50,0.011329,0.010000
"DEbest","ackley",5,3,1080,51,0.011329,0.010000
"DEbest","ackley",5,3,1100,52,0.010193,0.010000
"DEbest","ackley",5,3,1120,53,0.007037,0.010000
"DEbest","ackley",5,3,1140,54,0.006763,0.010000
"DEbest","ackley",5,3,1160,55,0.004854,0.010000
"DEbest","ackley",5,3,1180,56,0.004854,0.010000
